PlayerID,Player,Squad,League,Pos
2539,Manuel Neuer,Bayern Munich,Bundesliga,GK
2554,Mats Hummels,Roma,Serie A,DF
2747,Sven Ulreich,Bayern Munich,Bundesliga,GK
2789,Dante,Nice,Ligue 1,DF
2815,Kevin Vogt,Union Berlin,Bundesliga,DF
2845,Pascal Groß,Dortmund,Bundesliga,"MF,DF"
2877,Thomas Müller,Bayern Munich,Bundesliga,"MF,FW"
2924,David Alaba,Real Madrid,La Liga,DF
2967,Lewis Holtby,Holstein Kiel,Bundesliga,MF
2983,Mario Götze,Eint Frankfurt,Bundesliga,"MF,FW"
2994,Oliver Baumann,Hoffenheim,Bundesliga,GK
3038,İlkay Gündoğan,Manchester City,Premier League,MF
3060,Denis Thomalla,Heidenheim,Bundesliga,MF
3085,Jannik Vestergaard,Leicester City,Premier League,DF
3096,Kevin Trapp,Eint Frankfurt,Bundesliga,GK
3104,Marc-André Ter Stegen,Barcelona,La Liga,GK
3107,Marko Arnautović,Inter,Serie A,FW
3131,Robert Lewandowski,Barcelona,La Liga,FW
3145,Son Heung-Min,Tottenham,Premier League,FW
3152,Timothy Chandler,Eint Frankfurt,Bundesliga,DF
3153,Tobias Sippel,Gladbach,Bundesliga,GK
3168,Antonio Rüdiger,Real Madrid,La Liga,DF
3172,Bernd Leno,Fulham,Premier League,GK
3177,Daniel Batz,Mainz 05,Bundesliga,GK
3180,Danny Da Costa,Mainz 05,Bundesliga,DF
3183,Dominik Kohr,Mainz 05,Bundesliga,"DF,MF"
3213,Joshua King,Toulouse,Ligue 1,"FW,MF"
3229,Matthias Ginter,Freiburg,Bundesliga,DF
3232,Maximilian Arnold,Wolfsburg,Bundesliga,MF
3238,Mitchell Weiser,Werder Bremen,Bundesliga,"DF,MF"
3241,Niclas Füllkrug,West Ham,Premier League,FW
3256,Ricardo Rodríguez,Betis,La Liga,DF
3277,Willi Orban,RB Leipzig,Bundesliga,DF
3305,Christian Günter,Freiburg,Bundesliga,DF
3306,Dani Carvajal,Real Madrid,La Liga,DF
3312,Emre Can,Dortmund,Bundesliga,"DF,MF"
3321,Granit Xhaka,Leverkusen,Bundesliga,MF
3335,Jonas Hofmann,Leverkusen,Bundesliga,"MF,DF"
3343,Kevin De Bruyne,Manchester City,Premier League,"MF,FW"
3344,Kevin Volland,Union Berlin,Bundesliga,"FW,MF"
3347,Leonardo Bittencourt,Werder Bremen,Bundesliga,MF
3353,Marc-Oliver Kempf,Como,Serie A,DF
3363,Milan Badelj,Genoa,Serie A,MF
3369,Niklas Stark,Werder Bremen,Bundesliga,DF
3370,Niklas Süle,Dortmund,Bundesliga,DF
3380,Pierre Højbjerg,Marseille,Ligue 1,MF
3388,Sead Kolašinac,Atalanta,Serie A,DF
3395,Stefan Bell,Mainz 05,Bundesliga,DF
3408,Vincenzo Grifo,Freiburg,Bundesliga,"FW,MF"
3413,Alexander Schwolow,Union Berlin,Bundesliga,GK
3432,Francis Coquelin,Nantes,Ligue 1,MF
3438,Hakan Çalhanoğlu,Inter,Serie A,MF
3441,Henrikh Mkhitaryan,Inter,Serie A,MF
3447,Jens Grahl,Eint Frankfurt,Bundesliga,GK
3452,Jonathan Tah,Leverkusen,Bundesliga,DF
3454,José Campaña,Las Palmas,La Liga,MF
3455,Julian Brandt,Dortmund,Bundesliga,MF
3464,Leon Goretzka,Bayern Munich,Bundesliga,"MF,DF"
3465,Leroy Sané,Bayern Munich,Bundesliga,FW
3468,Luca Caldirola,Monza,Serie A,DF
3480,Marvin Ducksch,Werder Bremen,Bundesliga,FW
3483,Maximilian Philipp,Freiburg,Bundesliga,"MF,FW"
3489,Nicolas Höfler,Freiburg,Bundesliga,MF
3490,Norman Theuerkauf,Heidenheim,Bundesliga,MF
3501,Rani Khedira,Union Berlin,Bundesliga,MF
3517,Timo Werner,Tottenham,Premier League,"FW,MF"
3528,Alexander Nübel,Stuttgart,Bundesliga,GK
3535,Christopher Jullien,Montpellier,Ligue 1,DF
3560,Grischa Prömel,Hoffenheim,Bundesliga,MF
3568,Janik Haberer,Union Berlin,Bundesliga,"MF,DF"
3579,Juan Bernat,Getafe,La Liga,"MF,DF"
3583,Kevin Kampl,RB Leipzig,Bundesliga,MF
3587,Leopold Zingerle,RB Leipzig,Bundesliga,GK
3597,Mahmoud Dahoud,Eint Frankfurt,Bundesliga,MF
